語句,読み,意味,解説,関連事項,時代背景,種別
竹取物語,たけとりものがたり,日本最古の物語,「竹取物語」は日本最古の物語文学。かぐや姫の物語として有名。平安時代初期成立。作者未詳。「物語の出で来はじめの祖」と評される。,かぐや姫|最古の物語|平安初期|作者未詳,平安時代初期,古典作品
伊勢物語,いせものがたり,在原業平の歌物語,「伊勢物語」は在原業平を主人公とする歌物語。全125段。和歌を中心とした短編集。「昔男ありけり」で始まる各段が有名。恋愛を主題とする。,在原業平|歌物語|昔男|恋愛,平安時代初期,古典作品
土佐日記,とさにっき,紀貫之の日記文学,「土佐日記」は紀貫之が仮名で書いた日記文学。「男もすなる日記といふものを」で始まる。女性視点で書かれた最初の仮名日記。,紀貫之|仮名日記|男もすなる|女性視点,平安時代中期,古典作品
枕草子,まくらのそうし,清少納言の随筆,「枕草子」は清少納言の随筆文学。「春はあけぼの」で始まる。をかしの文学の代表。宮廷生活を鋭い観察眼で描く。約300段。,清少納言|春はあけぼの|をかし|随筆,平安時代中期,古典作品
源氏物語,げんじものがたり,紫式部の長編小説,「源氏物語」は紫式部による世界最古の長編小説。光源氏の生涯と恋愛を描く全54帖。「もののあわれ」の文学の最高峰。日本文学の最高傑作。,紫式部|光源氏|もののあわれ|長編小説,平安時代中期,古典作品
更級日記,さらしなにっき,菅原孝標女の日記,「更級日記」は菅原孝標女の回想的日記文学。源氏物語への憧れから始まる。「あづまぢの道のはてよりも」で始まる。女性の内面を描く。,菅原孝標女|源氏物語憧れ|回想的日記|女性内面,平安時代後期,古典作品
大鏡,おおかがみ,歴史物語,「大鏡」は歴史物語の代表作。藤原道長の栄華を中心に摂関政治を描く。「鏡物」の最初。二人の老人の対話形式。紀伝体で書かれる。,藤原道長|歴史物語|鏡物|対話形式,平安時代後期,古典作品
今昔物語集,こんじゃくものがたりしゅう,説話集,「今昔物語集」は日本最大の説話集。全31巻(現存28巻)。「今は昔」で始まる約千話を収録。仏教説話・世俗説話を含む。,説話集|今は昔|仏教説話|世俗説話,平安時代後期,古典作品
平家物語,へいけものがたり,軍記物語,「平家物語」は平氏の興亡を描いた軍記物語。「祇園精舎の鐘の声」で始まる。琵琶法師により語られた。無常観を描く。全12巻。,平氏興亡|祇園精舎|軍記物語|琵琶法師,鎌倉時代,古典作品
徒然草,つれづれぐさ,兼好法師の随筆,「徒然草」は兼好法師(吉田兼好)の随筆。「つれづれなるままに」で始まる。全243段。人生観・無常観を記す。枕草子と並ぶ随筆の双璧。,兼好法師|つれづれなるままに|随筆|人生観,鎌倉時代,古典作品
方丈記,ほうじょうき,鴨長明の随筆,「方丈記」は鴨長明の随筆。「ゆく河の流れは絶えずして」で始まる。無常観を哲学的に描く。五大災厄を記録。隠遁生活を語る。,鴨長明|ゆく河の流れ|無常観|隠遁,鎌倉時代,古典作品
奥の細道,おくのほそみち,松尾芭蕉の紀行文,「奥の細道」は松尾芭蕉の俳諧紀行文。「月日は百代の過客にして」で始まる。東北・北陸の旅を俳句と散文で記録。俳文学の最高峰。,松尾芭蕉|月日は百代の過客|俳諧紀行|俳文学,江戸時代,古典作品
古今和歌集,こきんわかしゅう,最初の勅撰和歌集,「古今和歌集」は最初の勅撰和歌集。紀貫之らが撰者。仮名序と真名序を持つ。約1100首収録。六歌仙・三十六歌仙の歌を多く含む。,勅撰和歌集|紀貫之|仮名序|六歌仙,平安時代初期,古典作品
春はあけぼの,はるはあけぼの,枕草子冒頭,「春はあけぼの」は枕草子の有名な冒頭文。四季の美しさを簡潔に表現。「やうやう白くなりゆく山ぎは」と続く。をかしの美意識の典型。,枕草子|清少納言|をかし|四季,平安時代中期,名文句
祇園精舎の鐘の声,ぎおんしょうじゃのかねのこえ,平家物語冒頭,「祇園精舎の鐘の声、諸行無常の響きあり」は平家物語の冒頭。仏教的無常観を表現。盛者必衰の理を説く。日本文学屈指の名文。,平家物語|無常観|盛者必衰|諸行無常,鎌倉時代,名文句
ゆく河の流れは絶えずして,ゆくかわのながれはたえずして,方丈記冒頭,「ゆく河の流れは絶えずして、しかももとの水にあらず」は方丈記の冒頭。無常の理を河の流れに喩える。哲学的な無常観の表現。,方丈記|鴨長明|無常観|河の流れ,鎌倉時代,名文句
つれづれなるままに,つれづれなるままに,徒然草冒頭,「つれづれなるままに、日暮らし硯に向かひて」は徒然草の冒頭。退屈な時間に物を書く動機を語る。随筆文学の名文。,徒然草|兼好法師|退屈|随筆,鎌倉時代,名文句
月日は百代の過客にして,つきひはひゃくだいのかかくにして,奥の細道冒頭,「月日は百代の過客にして、行きかふ年も又旅人也」は奥の細道の冒頭。時間の流れを旅に喩える。人生を旅と捉える哲学。,奥の細道|松尾芭蕉|時間|旅人,江戸時代,名文句
いとをかし,いとおかし,たいそう趣がある,「いとをかし」は「をかし」の強調形。「いと」(たいそう)+「をかし」(趣がある)。枕草子に頻出する表現。知的で明るい美の評価。,をかし|強調|枕草子|知的美,平安時代,古文表現
あはれなり,あわれなり,しみじみとしている,「あはれなり」は「あはれ」の形容動詞形。しみじみとした情趣を表す。源氏物語に頻出。平安貴族の美意識の中核概念。,あはれ|もののあわれ|源氏物語|美意識,平安時代,古文表現
かたはらいたし,かたわらいたし,そばにいて恥ずかしい,「かたはらいたし」は「そばにいて恥ずかしい」「見ていられない」の意。他人の失態を見て自分も恥ずかしい気持ち。現代語の「片腹痛い」とは異なる。,恥ずかしい|見ていられない|他人の失態|現代語と違う,平安時代,古文表現
心もとなし,こころもとなし,待ち遠しい・不安だ,「心もとなし」は「待ち遠しい」「不安だ」「はっきりしない」の意。心が落ち着かない様子。「おぼつかなし」と類義だが、より強い焦燥感。,待ち遠しい|不安|はっきりしない|焦燥感,平安時代,古文表現
あやし,あやし,不思議だ・粗末だ,「あやし」は「不思議だ」「粗末だ」「身分が低い」の意。多義的な語。「あやしの者」は身分の低い人。文脈で意味を判断する必要がある。,不思議|粗末|身分低い|多義語,平安時代,古文表現
うつくしげなり,うつくしげなり,かわいらしそうだ,「うつくしげなり」は「かわいらしそうだ」「愛らしく見える」の意。「うつくし」に様態の「げなり」が付いた形。外見の評価。,かわいらしい|愛らしい|様態|外見,平安時代,古文表現
いみじう,いみじう,たいそう・はなはだしく,「いみじう」は「いみじ」の連用形で副詞。「たいそう」「はなはだしく」の意。程度の強さを表す最頻出副詞。「いみじう泣く」「いみじう喜ぶ」など。,たいそう|はなはだしく|程度副詞|最頻出,平安時代,古文表現
いかにもいかにも,いかにもいかにも,どうかどうか・何とか,「いかにもいかにも」は「どうかどうか」「何とか」「ぜひとも」の意。「いかに」の繰り返しで強調。強い願望や懇願を表す。,どうか|何とか|ぜひとも|強調,平安時代,古文表現
春はあけぼの,はるはあけぼの,枕草子の冒頭,「春はあけぼの。やうやう白くなりゆく山際、少し明かりて、紫だちたる雲の細くたなびきたる。」清少納言『枕草子』の有名な冒頭文。春の美しさを「あけぼの」に見出す。をかしの文学の代表。,枕草子|清少納言|をかし|冒頭文|春,平安時代中期,名文句
夏は夜,なつはよる,枕草子・四季の美,「夏は夜。月のころはさらなり、闇もなほ、蛍の多く飛びちがひたる。」『枕草子』の春夏秋冬論の夏の部分。夏の美しさを夜に見出す。蛍の飛ぶ様子を描写。,枕草子|清少納言|四季|夏|蛍,平安時代中期,名文句
秋は夕暮れ,あきはゆうぐれ,枕草子・四季の美,「秋は夕暮れ。夕日の差して山の端いと近うなりたるに、烏の寝所へ行くとて、三つ四つ、二つ三つなど飛び急ぐさへあはれなり。」『枕草子』の秋の美。夕暮れ時の情趣を描く。,枕草子|清少納言|四季|秋|あはれ,平安時代中期,名文句
冬はつとめて,ふゆはつとめて,枕草子・四季の美,「冬はつとめて。雪の降りたるは言ふべきにもあらず、霜のいと白きも、またさらでもいと寒きに、火など急ぎおこして、炭持て渡るもいとつきづきし。」『枕草子』の冬の美。早朝の寒さと炭火の情景。,枕草子|清少納言|四季|冬|早朝,平安時代中期,名文句
つれづれなるままに,つれづれなるままに,徒然草の冒頭,「つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。」兼好法師『徒然草』の有名な冒頭文。無聊の中で随筆を書く動機を述べる。,徒然草|兼好法師|冒頭文|無聊|随筆,鎌倉時代末期,名文句
祇園精舎の鐘の声,ぎおんしょうじゃのかねのこえ,平家物語の冒頭,「祇園精舎の鐘の声、諸行無常の響きあり。沙羅双樹の花の色、盛者必衰の理をあらはす。」『平家物語』の有名な冒頭文。仏教の無常観を表す。平家一門の栄枯盛衰のテーマを示す。,平家物語|冒頭文|無常観|諸行無常|盛者必衰,鎌倉時代,名文句
いづれの御時にか,いずれのおんときにか,源氏物語の冒頭,「いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。」紫式部『源氏物語』の冒頭文。桐壺帝の時代を「いづれの御時にか」とぼかして始まる。,源氏物語|紫式部|冒頭文|桐壺|更衣,平安時代中期,名文句
うつくしきもの,うつくしきもの,枕草子の名段,「うつくしきもの。瓜にかきたるちごの顔。すずめの子の、ねず鳴きするに躍り来る。」『枕草子』の有名な段。「うつくし」はかわいいものの意。小さくてかわいいものを列挙。清少納言の鋭い観察眼。,枕草子|清少納言|かわいい|観察|小さい,平安時代中期,名文句
木は桜,きはさくら,枕草子・植物論,「木は、桜。花は濃くて葉は薄きが、いと面白し。」『枕草子』の植物論の一節。桜を最高の木として賛美。をかしの美意識。簡潔な表現で美を語る清少納言の文体。,枕草子|清少納言|桜|植物|をかし,平安時代中期,名文句
雪のいと高う降りたるを,ゆきのいとたこうふりたるを,枕草子の名場面,「雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに」『枕草子』の冬の情景。雪の日の宮中の優雅な様子を描く。,枕草子|清少納言|雪|宮中|優雅,平安時代中期,名文句
中納言参り給ひて,ちゅうなごんまいりたまいて,枕草子の名場面,「中納言参り給ひて、御扇奉らせ給ふに」から始まる有名な場面。中納言定子が清少納言に扇を贈る場面。「香炉峰の雪」の故事を引いた知的な遊び。才女同士の交流。,枕草子|清少納言|中納言|扇|香炉峰,平安時代中期,名文句
仁和寺にある法師,にんなじにあるほうし,徒然草の名段,「仁和寺にある法師、年寄るまで、石清水を拝まざりければ」で始まる話。目的地の本社まで行かず麓で帰った失敗談。「少しのことにも先達はあらまほしきことなり」の教訓。,徒然草|兼好法師|失敗|教訓|先達,鎌倉時代末期,名文句
高名の木登り,こうみょうのきのぼり,徒然草の名段,「高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに」で始まる話。危険は油断した時に起こるという教訓。「あやふき時は言はで、やすき時に教へけり」の名言。,徒然草|兼好法師|教訓|油断|安全,鎌倉時代末期,名文句
奥山に猫またといふもの,おくやまにねこまたというもの,徒然草の逸話,「奥山に、猫またといふものありて、人を食ふなる」という怪異譚。山中で恐怖に怯えていたら、実は飼っていた犬だったという話。恐怖心理を描く。思い込みの危険性。,徒然草|兼好法師|怪異|恐怖|心理,鎌倉時代末期,名文句
花は盛りに,はなはさかりに,徒然草の美意識,「花は盛りに、月は隈なきをのみ、見るものかは」で始まる有名な段。完璧なものだけを美とするのではなく、衰えや不完全さにも美を見出す。無常観に基づく美意識。,徒然草|兼好法師|美意識|無常|不完全,鎌倉時代末期,名文句
つれづれなるままに日暮らし,つれづれなるままにひぐらし,徒然草の心境,徒然草冒頭の一節。「つれづれなるままに、日暮らし、硯にむかひて」と続く。退屈な日々を硯に向かって過ごす兼好法師の姿。随筆執筆の動機を率直に述べる。,徒然草|兼好法師|退屈|執筆|動機,鎌倉時代末期,名文句
世にしたがへば,よにしたがえば,徒然草の処世訓,「世にしたがへば、身苦し。したがはねば、狂へるに似たり」という処世訓。世間に従えば窮屈、従わねば変人扱い。どちらを選ぶかの苦悩。兼好の人生観を示す。,徒然草|兼好法師|処世|人生観|苦悩,鎌倉時代末期,名文句
一事を必ず成さんと思はば,いちじをかならずなさんとおもわば,徒然草の教訓,「一事を必ず成さんと思はば、他の事の破るるをも傷むべからず」という教訓。一つのことを成し遂げようと思うなら、他のことが損なわれても気にするな。専念の重要性。,徒然草|兼好法師|教訓|専念|集中,鎌倉時代末期,名文句
友とするにわろき者,ともとするにわろきもの,徒然草の人物論,「友とするにわろき者、七つあり」で始まる段。悪い友人の特徴を列挙。「一つには、高く、やんごとなき人」など七項目。友人選びの基準を示す。,徒然草|兼好法師|友人|人物論|基準,鎌倉時代末期,名文句
ゆく河の流れは絶えずして,ゆくかわのながれはたえずして,方丈記の冒頭,「ゆく河の流れは絶えずして、しかももとの水にあらず」で始まる『方丈記』の有名な冒頭文。諸行無常を水の流れに喩える。鴨長明の無常観を象徴的に表現。,方丈記|鴨長明|無常|水|流れ,鎌倉時代,名文句
男もすなる日記,おとこもすなるにっき,土佐日記の冒頭,「男もすなる日記といふものを、女もしてみむとて、するなり」という『土佐日記』の冒頭。男が書く日記を女性も書いてみようという趣向。紀貫之が女性の視点で書く仮名日記。,土佐日記|紀貫之|冒頭|女性視点|仮名,平安時代中期,名文句
今は昔,いまはむかし,今昔物語集の決まり文句,「今は昔」は『今昔物語集』の各話の冒頭に現れる決まり文句。「今となっては昔のことだが」の意。説話を語り始める定型表現。約千話すべてがこの言葉で始まる。,今昔物語集|冒頭|決まり文句|説話|定型,平安時代末期,名文句
月やあらぬ,つきやあらぬ,伊勢物語・東下り,「月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして」という和歌。『伊勢物語』東下りの段。月も春も変わらないが、自分だけが変わってしまった嘆き。在原業平の心情。,伊勢物語|在原業平|和歌|東下り|嘆き,平安時代初期,名文句
世の中にたえて桜のなかりせば,よのなかにたえてさくらのなかりせば,古今和歌集の名歌,「世の中にたえて桜のなかりせば、春の心はのどけからまし」という在原業平の和歌。桜がなければ春は穏やかなのにという逆説。桜への複雑な思い。『古今和歌集』収録。,古今和歌集|在原業平|和歌|桜|春,平安時代初期,名文句
係り結び,かかりむすび,古文の構文法則,係助詞（ぞ・なむ・や・か・こそ）が文中にあると、文末が連体形または已然形で結ばれる法則。「ぞ・なむ・や・か」は連体形、「こそ」は已然形で結ぶ。古文の最重要文法事項。,文法|係助詞|連体形|已然形|構文,-,古文表現
ぞ〜連体形,ぞ〜れんたいけい,係り結び（強調）,係助詞「ぞ」が文中にある時、文末が連体形で結ばれる。強調を表す。「花ぞ咲ける」（花が咲いている）。「ぞ」の後の語を強調。,係り結び|強調|連体形|係助詞|ぞ,-,古文表現
なむ〜連体形,なむ〜れんたいけい,係り結び（強調）,係助詞「なむ」が文中にある時、文末が連体形で結ばれる。強調を表す。「人なむ来たる」（人が来た）。「なむ」の後の語を強調。,係り結び|強調|連体形|係助詞|なむ,-,古文表現
や・か〜連体形,や・か〜れんたいけい,係り結び（疑問・反語）,係助詞「や」「か」が文中にある時、文末が連体形で結ばれる。疑問・反語を表す。「誰か知る」（誰が知ろうか）。疑問や反語的強調。,係り結び|疑問|反語|連体形|係助詞,-,古文表現
こそ〜已然形,こそ〜いぜんけい,係り結び（強意）,係助詞「こそ」が文中にある時、文末が已然形で結ばれる。強意を表す。「これこそ花なれ」（これこそが花だ）。最も強い強調。已然形結びのみ「こそ」。,係り結び|強意|已然形|係助詞|こそ,-,古文表現
べし,べし,推量・当然・可能など,助動詞「べし」は推量・当然・意志・可能・命令など多義。「行くべし」（行くだろう・行くべきだ）。文脈で意味を判断。終止形接続。,助動詞|推量|当然|意志|多義,平安時代,古文表現
まじ,まじ,打消推量・打消当然,助動詞「まじ」は「べし」の打消。「行くまじ」（行かないだろう・行くべきでない）。打消推量・打消意志・打消可能など。終止形接続。,助動詞|打消推量|打消当然|打消意志|べし,平安時代,古文表現
らむ,らむ,現在推量・原因推量,助動詞「らむ」は現在の推量を表す。「今頃何をするらむ」（今頃何をしているだろう）。目に見えない現在の事柄の推量。終止形接続。,助動詞|現在推量|原因推量|目に見えない|現在,平安時代,古文表現
けむ,けむ,過去推量・原因推量,助動詞「けむ」は過去の推量を表す。「昨日何をしけむ」（昨日何をしただろう）。過去の事柄の推量。連用形接続。「けん」とも。,助動詞|過去推量|原因推量|過去|けん,平安時代,古文表現
まほし,まほし,希望,助動詞「まほし」は希望を表す。「行かまほし」「見まほしき」（行きたい・見たい）。形容詞型活用。連用形「まほしく」もよく使われる。,助動詞|希望|〜たい|形容詞型|願望,平安時代,古文表現
平家物語,へいけものがたり,鎌倉時代の軍記物語,平家一門の栄華と滅亡を描いた軍記物語。「祇園精舎の鐘の声」の冒頭で有名。琵琶法師により語られた。諸行無常がテーマ。,軍記物語|平家|源平|無常|琵琶法師,鎌倉時代,古典作品
太平記,たいへいき,南北朝時代の軍記物語,後醍醐天皇の時代から南北朝の争乱を描いた軍記物語。全40巻。足利尊氏、楠木正成などが登場。歴史的価値も高い。,軍記物語|南北朝|後醍醐天皇|足利尊氏|楠木正成,南北朝時代,古典作品
保元物語,ほうげんものがたり,保元の乱を描く軍記物語,保元の乱（1156年）を題材とした軍記物語。崇徳上皇と後白河天皇の対立。源為朝の活躍。武士の台頭を描く。,軍記物語|保元の乱|崇徳上皇|後白河天皇|源為朝,平安時代末期,古典作品
平治物語,へいじものがたり,平治の乱を描く軍記物語,平治の乱（1159年）を題材とした軍記物語。源義朝と平清盛の対立。平家の隆盛のきっかけ。源頼朝の少年時代も描かれる。,軍記物語|平治の乱|源義朝|平清盛|源頼朝,平安時代末期,古典作品
宇治拾遺物語,うじしゅういものがたり,説話集,鎌倉時代初期の説話集。全15巻。「今は昔」で始まる短編説話を多数収録。笑い話や教訓話など多様。『今昔物語集』と類似点多い。,説話集|鎌倉|今は昔|短編|笑い話,鎌倉時代初期,古典作品
古今著聞集,ここんちょもんじゅう,説話集,鎌倉時代の説話集。橘成季編。全30巻。和歌・音楽・舞踊など文化的話題が豊富。貴族社会の逸話を多数収録。,説話集|鎌倉|橘成季|和歌|文化,鎌倉時代,古典作品
沙石集,しゃせきしゅう,仏教説話集,鎌倉時代の仏教説話集。無住道暁著。全10巻。仏教的教訓を含む説話。民衆の生活も描かれる。説話文学の代表作。,説話集|仏教|無住道暁|教訓|鎌倉,鎌倉時代,古典作品
蜻蛉日記,かげろうにっき,平安時代の日記文学,藤原道綱母が夫・藤原兼家との結婚生活を綴った日記。女性の心情を率直に描く。日本最初の女流日記文学。約20年間の記録。,日記文学|女流|藤原道綱母|藤原兼家|結婚生活,平安時代,古典作品
和泉式部日記,いずみしきぶにっき,和泉式部の日記,和泉式部と敦道親王との恋愛を描いた日記風物語。和歌を多く含む。情熱的な恋愛描写。虚構性も指摘される。,日記文学|女流|和泉式部|敦道親王|恋愛,平安時代,古典作品
紫式部日記,むらさきしきぶにっき,紫式部の宮仕え日記,紫式部が宮中での生活や藤原道長らとの交流を記した日記。『源氏物語』の作者による貴重な記録。鋭い人物観察。,日記文学|女流|紫式部|宮中|藤原道長,平安時代,古典作品
更級日記,さらしなにっき,菅原孝標女の日記,菅原孝標女が『源氏物語』への憧れや人生を綴った日記。少女期から晩年まで。物語への情熱と現実の落差を描く。回想的作品。,日記文学|女流|菅原孝標女|源氏物語|回想,平安時代,古典作品
讃岐典侍日記,さぬきのすけにっき,平安時代の日記文学,讃岐典侍（藤原長子）が堀河天皇への思慕を綴った日記。宮仕えの女性の立場から見た宮中。和歌を多く含む短編日記。,日記文学|女流|讃岐典侍|堀河天皇|宮中,平安時代,古典作品
大鏡,おおかがみ,歴史物語,藤原氏の栄華を描いた歴史物語。全3巻。藤原道長の時代を中心に、摂関政治の全盛期を描く。老人の回想形式。四鏡の一つ。,歴史物語|藤原氏|藤原道長|摂関政治|四鏡,平安時代末期,古典作品
増鏡,ますかがみ,歴史物語,後鳥羽院から後醍醐天皇までを描いた歴史物語。全17巻。鎌倉時代の政治を貴族の視点で記録。四鏡の最後。,歴史物語|後鳥羽院|後醍醐天皇|鎌倉時代|四鏡,南北朝時代,古典作品
発心集,ほっしんしゅう,仏教説話集,鴨長明著の仏教説話集。全8巻。発心（出家・入道）の話を集める。『方丈記』の作者による説話文学。仏教的世界観。,説話集|仏教|鴨長明|発心|出家,鎌倉時代,古典作品
十訓抄,じっきんしょう,説話集,鎌倉時代中期の説話集。全10巻。10の教訓（十訓）を主題とする。和漢の故事を収録。『今昔物語集』の影響が見られる。,説話集|教訓|十訓|故事|和漢,鎌倉時代中期,古典作品
栄花物語,えいがものがたり,歴史物語,藤原氏の栄華を描いた歴史物語。全40巻。藤原道長の時代を中心に、摂関家の繁栄を描く。物語風の歴史叙述。,歴史物語|藤原氏|藤原道長|摂関家|繁栄,平安時代中期,古典作品
む〜打消,む〜うちけし,助動詞「む」の打消,「む」は打消推量・打消意志を表す助動詞。「行かむ」は「行かないだろう」。未然形接続。「ず」と混同しないよう注意。現代語「まい」の語源。,助動詞|打消推量|打消意志|未然形|まい,平安時代,古文表現
給ふ・賜ふ,たまう,尊敬・謙譲の補助動詞,「給ふ」「賜ふ」は尊敬・謙譲両方で使われる補助動詞。「言ひ給ふ」（おっしゃる）「申し給ふ」（申し上げなさる）。動作の主が誰かで判断。,補助動詞|尊敬|謙譲|給ふ|賜ふ,平安時代,古文表現
侍り,はべり,丁寧・謙譲の補助動詞,「侍り」は丁寧語・謙譲語の補助動詞。「あり」の丁寧語。「侍り」で文を結ぶと丁寧な表現に。宮中言葉の特徴。,補助動詞|丁寧|謙譲|侍り|あり,平安時代,古文表現
候ふ,そうろう,丁寧・謙譲の補助動詞,「候ふ」は丁寧語・謙譲語の補助動詞。「あり」の丁寧語。武家の書状で頻出。「〜で候」の形。中世以降に一般化。,補助動詞|丁寧|謙譲|候ふ|武家,鎌倉時代以降,古文表現
奉る,たてまつる,謙譲の補助動詞,「奉る」は謙譲語の補助動詞。「〜申し上げる」の意。「書き奉る」「申し奉る」。動作を貴人に向けて行う時に使用。,補助動詞|謙譲|奉る|申し上げる|貴人,平安時代,古文表現
聞こゆ・聞こえさす,きこゆ・きこえさす,謙譲の補助動詞,「聞こゆ」「聞こえさす」は謙譲語の補助動詞。「〜申し上げる」の意。「聞こえさす」は「聞こゆ」より丁重。「申し聞こゆ」など。,補助動詞|謙譲|聞こゆ|聞こえさす|申し上げる,平安時代,古文表現
参る,まいる,謙譲の補助動詞,「参る」は謙譲語の補助動詞。「〜申し上げる」の意。「申し参らす」「書き参らす」。貴人への動作を表す。現代語とほぼ同じ用法。,補助動詞|謙譲|参る|申し上げる|貴人,平安時代,古文表現
春はあけぼの,はるはあけぼの,枕草子の冒頭,「春はあけぼの。やうやう白くなりゆく山ぎは、すこしあかりて」という『枕草子』の有名な冒頭。四季の美を詠む。清少納言の美意識の象徴。,枕草子|清少納言|春|あけぼの|冒頭,平安時代,名文句
本意,ほい,本来の願い・念願,「本意」は本来の願い、念願、かねてからの望みの意。「本意を遂ぐ」（念願を遂げる）。重要な目標や願望を表す。,名詞|願い|念願|望み|目標,平安時代,古文表現
いみじう心憂し,いみじううれうし,非常につらい,「いみじう心憂し」は「非常につらい」「ひどく悲しい」の意。強い悲嘆を表す慣用表現。『源氏物語』などで頻出。,慣用句|つらい|悲しい|悲嘆|心憂し,平安時代,古文表現
世の常ならず,よのつねならず,普通でない・格別だ,「世の常ならず」は「普通でない」「格別だ」「並外れている」の意。特別な状態を表す慣用表現。,慣用句|普通でない|格別|並外れている|特別,平安時代,古文表現
思ひやり,おもいやり,想像・推察・思いやり,「思ひやり」は「想像」「推察」「思いやり」の意。他者の状況や心情を推し量ること。現代語より広い意味。,名詞|想像|推察|思いやり|心情,平安時代,古文表現
あてなり,あてなり,上品だ・高貴だ,形容動詞で「上品だ」「高貴だ」「優雅だ」の意。貴族的な美を表す重要語。「あてなる人」（上品な人）。,形容動詞|上品|高貴|優雅|貴族的,平安時代,古文表現
たより,たより,便り・機会・縁,「たより」は「便り」「機会」「手段」「縁故」の意。多義語。「人のたより」（人づて）「たよりあらば」（機会があれば）。,名詞|便り|機会|手段|縁故,平安時代,古文表現
源氏物語,げんじものがたり,平安時代の長編小説,紫式部作の長編物語。全54巻。光源氏の生涯と恋愛を描く。日本文学最高峰。世界最古の長編小説とも言われる。平安貴族社会を精緻に描写。,物語|紫式部|光源氏|恋愛|長編,平安時代中期,古典作品
竹取物語,たけとりものがたり,日本最古の物語,かぐや姫の物語。『竹取翁物語』とも。竹から生まれた姫が月に帰る。日本最古の物語文学。「今は昔」で始まる。求婚譚と昇天譚の融合。,物語|かぐや姫|竹|月|最古,平安時代初期,古典作品
堤中納言物語,つつみちゅうなごんものがたり,短編物語集,平安時代末期の短編物語集。全10編。ユーモラスで機知に富んだ作品が多い。「虫めづる姫君」など。作者不詳。,物語|短編集|ユーモア|虫めづる姫君|作者不詳,平安時代末期,古典作品
落窪物語,おちくぼものがたり,継子いじめの物語,継子いじめと恋愛を描いた物語。全4巻。シンデレラ型の物語。平安中期の作品。庶民的で写実的な描写が特徴。,物語|継子いじめ|恋愛|シンデレラ|写実的,平安時代中期,古典作品
うつほ物語,うつほものがたり,音楽と恋愛の物語,音楽（琴）を主題とした長編物語。全20巻。『源氏物語』以前の作品。俊蔭の琴の秘曲伝承と数世代の恋愛を描く。,物語|音楽|琴|恋愛|長編,平安時代中期,古典作品
